Species,Life Stage,Type,sig
Abies amabilis,Cool,Gymno,1
Abies concolor,Warm,Gymno,1
Abies grandis,Cool,Gymno,1
Abies lasiocarpa,Cool,Gymno,0
Abies magnifica,Warm,Gymno,0
Abies procera,Cool,Gymno,0
Callitropsis nootkatensis,Cool,Gymno,0
Calocedrus decurrens,Warm,Gymno,1
Chamaecyparis lawsoniana,Warm,Gymno,0
Chamaecyparis nootkatensis,,Gymno,0
Juniperus californica,,Gymno,0
Juniperus occidentalis,Warm,Gymno,0
Larix occidentalis,Warm,Gymno,0
Picea engelmannii,Warm,Gymno,0
Picea sitchensis,Cool,Gymno,0
Pinus albicaulis,Cool,Gymno,0
Pinus attenuata,,Gymno,0
Pinus contorta,Warm,Gymno,0
Pinus jeffreyi,Warm,Gymno,1
Pinus lambertiana,Warm,Gymno,1
Pinus monophylla,Cool,Gymno,0
Pinus monticola,Warm,Gymno,0
Pinus ponderosa,Cool,Gymno,0
Pinus sabiniana,Cool,Gymno,0
Pseudotsuga menziesii,Cool,Gymno,0
Sequoia sempervirens,Cool,Gymno,0
Taxus brevifolia,Cool,Gymno,1
Thuja plicata,Cool,Gymno,1
Tsuga heterophylla,Cool,Gymno,1
Tsuga mertensiana,Cool,Gymno,1
Cercocarpus ledifolius,Cool,Angio ,0
Acer glabrum,Cool,Angio,0
Acer macrophyllum,Cool,Angio,0
Aesculus californica,Warm,Angio,0
Alnus rhombifolia,,Angio,0
Alnus rubra,Cool,Angio,1
Arbutus menziesii,Cool,Angio,0
Betula papyrifera,,Angio,0
Chrysolepis chrysophylla,Cool,Angio,1
Cornus nuttallii,Warm,Angio,0
Fraxinus latifolia,Cool,Angio,0
Notholithocarpus densiflorus,Cool,Angio,1
Populus balsamifera,Cool,Angio,0
Populus tremuloides,Cool,Angio,1
Quercus agrifolia,Cool,Angio,1
Quercus chrysolepis,Cool,Angio,1
Quercus douglasii,Cool,Angio,0
Quercus garryana,Cool,Angio,1
Quercus kelloggii,Cool,Angio,1
Quercus lobata,,Angio,0
Quercus wislizeni,Cool,Angio,1
Umbellularia californica,Cool,Angio,1
