SppCode,Common_Name
11,Pacific silver fir  
15,white fir   
17,grand fir   
19,subalpine fir   
20,California red fir  
21,Shasta red fir  
22,noble fir   
41,Port?Orford?cedar    
42,Alaska yellow?cedar   
50,cypress    
52,Modoc cypress   
54,Monterey cypress   
55,Sargent's cypress   
62,California juniper  
64,western juniper   
65,Utah juniper  
66,Rocky Mountain juniper 
72,subalpine larch   
73,western larch   
81,incense?cedar    
92,Brewer spruce   
93,Engelmann spruce   
94,white spruce   
95,black spruce   
98,Sitka spruce   
101,whitebark pine   
102,Rocky Mountain bristlecone pine 
103,knobcone pine   
104,foxtail pine   
108,lodgepole pine   
109,Coulter pine   
113,limber pine   
116,Jeffrey pine   
117,sugar pine   
119,western white pine  
120,bishop pine   
122,ponderosa pine   
124,Monterey pine   
127,gray pine   
133,singleleaf pinyon  
137,Washoe pine   
142,Great Basin bristlecone pine 
201,bigcone Douglas?fir   
202,Douglas?fir    
211,redwood    
212,giant sequoia   
231,Pacific yew   
242,western redcedar   
251,California torreya   
263,western hemlock   
264,mountain hemlock   
299,Unknown dead conifer  
312,bigleaf maple   
313,boxelder    
320,Norway maple   
321,Rocky Mountain maple 
330,buckeye    
333,California buckeye   
341,ailanthus    
351,red alder   
352,white alder   
361,Pacific madrone   
374,water birch   
375,paper birch   
431,golden chinkapin   
475,curlleaf mtn.mahogany  
492,Pacific dogwood   
510,eucalyptus spp.   
511,Tasmanian bluegum   
540,ash spp.   
542,Oregon ash   
591,American holly   
600,walnut spp.   
603,N. California black walnut 
604,S. California black walnut 
611,sweetgum    
631,tanoak    
661,Oregon crab apple  
730,California sycamore   
746,quaking aspen   
747,black cottonwood   
748,Fremont cottonwood   
756,honey mesquite  
758,screwbean mesquite  
760,cherry and plum spp. 
763,chokecherry    
768,bitter cherry   
801,California live oak  
805,canyon live oak  
807,blue oak   
811,Engelmann oak   
815,Oregon white oak  
818,California black oak  
821,California white oak  
826,chinkapin oak   
839,interior live oak  
901,black locust   
920,willow spp.   
922,black willow   
926,balsam willow   
981,California?laurel    
990,desert ironwood  
997,Russian?olive    
998,Unknown dead hardwood  
999,Other or unknown live tree
