STATECD,PLOT_FIADB,State_Plot,SPCD,n.fv,n.sv,num.code
41,60508,6050841,15,1,0,1
41,93136,9313641,16,1,0,1
41,94067,9406741,18,1,0,1
41,90844,9084441,19,1,0,1
41,71008,7100841,20,4,0,1
6,55518,555186,21,1,0,1
41,52897,5289741,23,1,0,1
53,84228,8422853,73,1,0,1
41,95163,9516341,81,1,0,1
53,54138,5413853,93,1,0,1
41,65898,6589841,117,1,0,1
53,65212,6521253,119,1,0,1
41,91115,9111541,122,1,0,1
41,86506,8650641,122,1,0,1
6,62974,629746,122,1,0,1
41,86811,8681141,202,1,0,1
53,82916,8291653,242,1,0,1
53,75916,7591653,264,1,0,1
41,61762,6176241,312,2,0,1
53,76517,7651753,312,1,0,1
41,53730,5373041,361,4,0,1
6,71078,710786,805,3,0,1
6,92930,929306,805,1,0,1
6,63574,635746,805,1,0,1
41,71710,7171041,818,1,0,1
6,58527,585276,839,3,0,1
