Species,Symbol,First Visit,Second Visit,Lost,Gained
Abies amabilis,ABAM,1163,1171,33,41
Abies concolor,ABCO,2016,1954,142,80
Abies grandis,ABGR,1768,1754,126,112
Abies lasiocarpa,ABLA,774,723,90,39
Abies magnifica,ABMA,579,582,18,21
Abies procera,ABPR,401,423,18,40
Chamaecyparis lawsoniana,CHLA,85,81,8,4
Chamaecyparis nootkatensis,CHNO,112,116,2,6
Juniperus californica,JUCA7,64,65,2,3
Juniperus occidentalis,JUOC,1020,1013,55,48
Larix occidentalis,LAOC,1059,1056,74,71
Calocedrus decurrens,CADE27,1329,1302,89,62
Picea engelmannii,PIEN,749,704,91,46
Picea sitchensis,PISI,269,261,36,28
Pinus albicaulis,PIAL,203,181,30,8
Pinus attenuata,PIAT,83,77,22,16
Pinus contorta,PICO,2256,2193,198,135
Pinus jeffreyi,PIJE,637,622,29,14
Pinus lambertiana,PILA,991,914,115,38
Pinus monticola,PIMO3,604,605,66,67
Pinus ponderosa,PIPO,4581,4606,207,232
Pinus sabiniana,PISA2,195,185,24,14
Pinus monophylla,PIMO,203,193,13,3
Pseudotsuga menziesii,PSME,8269,8258,371,360
Sequoia sempervirens,SESE3,240,242,2,4
Taxus brevifolia,TABR2,220,206,25,11
Thuja plicata,THPL,1461,1487,73,99
Tsuga heterophylla,TSHE,2745,2788,160,203
Tsuga mertensiana,TSME,743,754,19,30
Acer macrophyllum,ACMA3,941,941,88,88
Aesculus californica,AECA,79,74,10,5
Alnus rubra,ALRU2,1318,1286,190,158
Alnus rhombifolia,ALRH2,71,66,8,3
Arbutus menziesii,ARME,839,803,85,49
Betula papyrifera,BEPA,80,70,14,4
Chrysolepis chrysophylla,CHCHC4,345,328,56,39
Cornus nuttallii,CONU4,95,84,29,18
Fraxinus latifolia,FRLA,57,65,3,11
Notholithocarpus densiflorus,NODE3,650,643,39,32
Populus tremuloides,POTR5,119,106,21,8
Populus balsamifera,POBAT,168,167,19,18
Prunus emarginata,PREM,126,158,40,72
Quercus agrifolia,QUAG,199,194,11,6
Quercus chrysolepis,QUCH2,851,821,60,30
Quercus douglasii,QUDO,340,335,5,0
Quercus garryana,QUGA4,334,332,13,11
Quercus kelloggii,QUKE,896,847,91,42
Quercus lobata,QULO,62,60,2,0
Quercus wislizeni,QUWI2,207,197,23,13
Umbellularia californica,UMCA,264,277,8,21
