SppNames,spp.codes,Spp.symbol,SciName,n.lt,n.gt,temactmean,temSE,LCI,UCI
Pacific silver fir,11,ABAM,Abies amabilis,334,475,0.025154775496104786,0.033147456054040944,-0.03981423836981546,0.09012378936202503
white fir,15,ABCO,Abies concolor,738,700,-0.22865163920435805,0.0738602942129869,-0.37341781586181233,-0.08388546254690374
grand fir,17,ABGR,Abies grandis,512,668,0.07736951977815387,0.046656258517891756,-0.014076746916913963,0.1688157864732217
subalpine fir,19,ABLA,Abies lasiocarpa,307,250,-0.1076693265196802,0.07476949929852365,-0.25421754514478656,0.038878892105426166
California red fir,20,ABMA,Abies magnifica,197,161,-0.3266250943753688,0.15416091798026452,-0.6287804936166872,-0.02446969513405034
noble fir,22,ABPR,Abies procera,72,134,-0.09062159244556434,0.07280122516183918,-0.23331199376276912,0.05206880887164045
western juniper,64,JUOC,Juniperus occidentalis,129,293,-0.021371910567442365,0.06598076401829651,-0.15069420804330352,0.1079503869084188
western larch,73,LAOC,Larix occidentalis,272,207,0.047122503068439014,0.06506948997526481,-0.08041369728308001,0.17465870341995804
incense cedar,81,CADE27,Calocedrus decurrens,302,358,-0.4541014106273189,0.11854824343025433,-0.6864559677506173,-0.22174685350402043
Engelmann spruce,93,PIEN,Picea engelmannii,213,210,0.071783901891177,0.077410080115305,-0.07993985513482077,0.22350765891717478
Sitka spruce,98,PISI,Picea sitchensis,89,60,0.04317292894961555,0.031243975038271605,-0.018065262125396796,0.10441112002462791
lodgepole pine,108,PICO,Pinus contorta,882,864,-0.05350674498845254,0.04474290567980464,-0.14120284012086964,0.034189350143964556
Jeffrey pine,116,PIJE,Pinus jeffreyi,138,148,-0.02553415950317639,0.11019923675995899,-0.241524663552696,0.19045634454634322
sugar pine,117,PILA,Pinus lambertiana,223,117,-0.015456949027482292,0.19444814479376626,-0.39657531282326414,0.36566141476829955
western white pine,119,PIMO3,Pinus monticola,155,137,-0.31081521710427307,0.1131648763240384,-0.5326183746993883,-0.0890120595091578
ponderosa pine,122,PIPO,Pinus ponderosa,1224,1410,-0.14677347478542568,0.05490914315304389,-0.2543953953653917,-0.039151554205459654
Douglas fir,202,PSME,Pseudotsuga menziesii,2651,2726,0.11436636828415492,0.032808633939642035,0.050061445762456525,0.1786712908058533
western redcedar,242,THPL,Thuja plicata,211,464,0.07642025576255795,0.040820542530593945,-0.0035880075974061704,0.1564285191225221
western hemlock,263,TSHE,Tsuga heterophylla,809,1107,-0.003196196494683834,0.022276924220605815,-0.04685896796707123,0.04046657497770356
mountain hemlock,264,TSME,Tsuga mertensiana,170,239,0.030664891066833677,0.06939031979124641,-0.10534013572400927,0.16666991785767662
bigleaf maple,312,ACMA3,Acer macrophyllum,233,294,-0.3826113278457397,0.11459163089647154,-0.6072109244028239,-0.1580117312886555
red alder,351,ALRU2,Alnus rubra,655,455,-0.0642232542814628,0.027367018721248224,-0.11786261097510933,-0.010583897587816284
Pacific madrone,361,ARME,Arbutus menziesii,312,155,0.3127216879949035,0.10570748996908169,0.10553500765550342,0.51990836833430365
golden chinkapin,431,CHCHC4,Chrysolepis chrysophylla,119,106,-0.09276607433539485,0.11753482729877784,-0.32313433584099943,0.13760218717020972
tanoak,631,NODE3,Notholithocarpus densiflorus,276,256,-0.07002159827521015,0.08488738844262954,-0.23640087962276404,0.09635768307234374
bitter cherry,768,PREM,Prunus emarginata,59,96,0.034837403073960105,0.07015782799926548,-0.10267193980460024,0.17234674595252045
canyon live oak,805,QUCH2,Quercus chrysolepis,222,282,-0.08495012614454334,0.1398783559732264,-0.3591117038520671,0.18921145156298042
blue oak,807,QUDO,Quercus douglasii,67,60,0.5803447857111972,0.20252210609082585,0.1834014577731785,0.9772881136492159
Oregon white oak,815,QUGA4,Quercus garryana,89,103,0.19465267956394205,0.1530881080242099,-0.10540001216350936,0.49470537129139347
California black oak,818,QUKE,Quercus kelloggii,325,165,-0.11508987146375826,0.12078202385523137,-0.35182263822001175,0.12164289529249522
interior live oak,839,QUWI2,Quercus wislizeni,86,62,-0.10353879128187105,0.19154005293884255,-0.4789572950420024,0.2718797124782603
